id_municipio_6,id_municipio,nome_municipio_oficial,nome_uf,latitude,longitude
110002,1100023,Ariquemes,Rondônia,-9.90571,-63.0325
110010,1100106,Guajará-Mirim,Rondônia,-10.7889,-65.3296
110011,1100114,Jaru,Rondônia,-10.4318,-62.4788
110013,1100130,Machadinho D'Oeste,Rondônia,-9.44363,-61.9818
110020,1100205,Porto Velho,Rondônia,-8.76077,-63.8999
110026,1100262,Rio Crespo,Rondônia,-9.69965,-62.9011
110033,1100338,Nova Mamoré,Rondônia,-10.4077,-65.3346
110040,1100403,Alto Paraíso,Rondônia,-9.71429,-63.3188
110045,1100452,Buritis,Rondônia,-10.1943,-63.8324
110060,1100601,Cacaulândia,Rondônia,-10.349,-62.9043
110070,1100700,Campo Novo de Rondônia,Rondônia,-10.5712,-63.6266
110080,1100809,Candeias do Jamari,Rondônia,-8.7907,-63.7005
110094,1100940,Cujubim,Rondônia,-9.36065,-62.5846
110100,1101005,Governador Jorge Teixeira,Rondônia,-10.61,-62.7371
110110,1101104,Itapuã do Oeste,Rondônia,-9.19687,-63.1809
110140,1101401,Monte Negro,Rondônia,-10.2458,-63.29
110160,1101609,Theobroma,Rondônia,-10.2483,-62.3538
110175,1101757,Vale do Anari,Rondônia,-9.86215,-62.1876
120001,1200013,Acrelândia,Acre,-9.82581,-66.8972
120005,1200054,Assis Brasil,Acre,-10.9298,-69.5738
120010,1200104,Brasiléia,Acre,-10.995,-68.7497
120013,1200138,Bujari,Acre,-9.81528,-67.955
120017,1200179,Capixaba,Acre,-10.566,-67.686
120020,1200203,Cruzeiro do Sul,Acre,-7.62762,-72.6756
120025,1200252,Epitaciolândia,Acre,-11.0188,-68.7341
120030,1200302,Feijó,Acre,-8.17054,-70.351
120032,1200328,Jordão,Acre,-9.43091,-71.8974
120033,1200336,Mâncio Lima,Acre,-7.61657,-72.8997
120034,1200344,Manoel Urbano,Acre,-8.83291,-69.2679
120035,1200351,Marechal Thaumaturgo,Acre,-8.93898,-72.7997
120038,1200385,Plácido de Castro,Acre,-10.2806,-67.1371
120039,1200393,Porto Walter,Acre,-8.26323,-72.7537
120040,1200401,Rio Branco,Acre,-9.97499,-67.8243
120042,1200427,Rodrigues Alves,Acre,-7.73864,-72.661
120043,1200435,Santa Rosa do Purus,Acre,-9.44652,-70.4902
120045,1200450,Senador Guiomard,Acre,-10.1497,-67.7362
120050,1200500,Sena Madureira,Acre,-9.06596,-68.6571
120060,1200609,Tarauacá,Acre,-8.15697,-70.7722
120070,1200708,Xapuri,Acre,-10.6516,-68.4969
120080,1200807,Porto Acre,Acre,-9.58138,-67.5478
130002,1300029,Alvarães,Amazonas,-3.22727,-64.8007
130006,1300060,Amaturá,Amazonas,-3.37455,-68.2005
130008,1300086,Anamã,Amazonas,-3.56697,-61.3963
130010,1300102,Anori,Amazonas,-3.74603,-61.6575
130014,1300144,Apuí,Amazonas,-7.19409,-59.896
130020,1300201,Atalaia do Norte,Amazonas,-4.37055,-70.1967
130030,1300300,Autazes,Amazonas,-3.58574,-59.1256
130040,1300409,Barcelos,Amazonas,-0.983373,-62.9311
130050,1300508,Barreirinha,Amazonas,-2.79886,-57.0679
130060,1300607,Benjamin Constant,Amazonas,-4.37768,-70.0342
130063,1300631,Beruri,Amazonas,-3.89874,-61.3616
130068,1300680,Boa Vista do Ramos,Amazonas,-2.97409,-57.5873
130070,1300706,Boca do Acre,Amazonas,-8.74232,-67.3919
130080,1300805,Borba,Amazonas,-4.39154,-59.5874
130083,1300839,Caapiranga,Amazonas,-3.31537,-61.2206
130090,1300904,Canutama,Amazonas,-6.52582,-64.3953
130100,1301001,Carauari,Amazonas,-4.88161,-66.9086
130110,1301100,Careiro,Amazonas,-3.76803,-60.369
130115,1301159,Careiro da Várzea,Amazonas,-3.314,-59.5557
130120,1301209,Coari,Amazonas,-4.09412,-63.1441
130130,1301308,Codajás,Amazonas,-3.83053,-62.0658
130140,1301407,Eirunepé,Amazonas,-6.65677,-69.8662
130150,1301506,Envira,Amazonas,-7.43789,-70.0281
130160,1301605,Fonte Boa,Amazonas,-2.52342,-66.0942
130165,1301654,Guajará,Amazonas,-7.53797,-72.5907
130170,1301704,Humaitá,Amazonas,-7.51171,-63.0327
130180,1301803,Ipixuna,Amazonas,-7.04791,-71.6934
130185,1301852,Iranduba,Amazonas,-3.27479,-60.19
130190,1301902,Itacoatiara,Amazonas,-3.13861,-58.4449
130195,1301951,Itamarati,Amazonas,-6.43852,-68.2437
130200,1302009,Itapiranga,Amazonas,-2.74081,-58.0293
130210,1302108,Japurá,Amazonas,-1.88237,-66.9291
130220,1302207,Juruá,Amazonas,-3.48438,-66.0718
130230,1302306,Jutaí,Amazonas,-2.75814,-66.7595
130240,1302405,Lábrea,Amazonas,-7.26413,-64.7948
130250,1302504,Manacapuru,Amazonas,-3.29066,-60.6216
130255,1302553,Manaquiri,Amazonas,-3.44078,-60.4612
130260,1302603,Manaus,Amazonas,-3.11866,-60.0212
